MB	BH	BL	NH	Year
131	138	89	49	-4000
125	131	92	48	-4000
131	132	99	50	-4000
119	132	96	44	-4000
136	143	100	54	-4000
138	137	89	56	-4000
139	130	108	48	-4000
125	136	93	48	-4000
131	134	102	51	-4000
134	134	99	51	-4000
129	138	95	50	-4000
134	121	95	53	-4000
126	129	109	51	-4000
132	136	100	50	-4000
141	140	100	51	-4000
131	134	97	54	-4000
135	137	103	50	-4000
132	133	93	53	-4000
139	136	96	50	-4000
132	131	101	49	-4000
126	133	102	51	-4000
135	135	103	47	-4000
134	124	93	53	-4000
128	134	103	50	-4000
130	130	104	49	-4000
138	135	100	55	-4000
128	132	93	53	-4000
127	129	106	48	-4000
131	136	114	54	-4000
124	138	101	46	-4000
124	138	101	48	-3300
133	134	97	48	-3300
138	134	98	45	-3300
148	129	104	51	-3300
126	124	95	45	-3300
135	136	98	52	-3300
132	145	100	54	-3300
133	130	102	48	-3300
131	134	96	50	-3300
133	125	94	46	-3300
133	136	103	53	-3300
131	139	98	51	-3300
131	136	99	56	-3300
138	134	98	49	-3300
130	136	104	53	-3300
131	128	98	45	-3300
138	129	107	53	-3300
123	131	101	51	-3300
130	129	105	47	-3300
134	130	93	54	-3300
137	136	106	49	-3300
126	131	100	48	-3300
135	136	97	52	-3300
129	126	91	50	-3300
134	139	101	49	-3300
131	134	90	53	-3300
132	130	104	50	-3300
130	132	93	52	-3300
135	132	98	54	-3300
130	128	101	51	-3300
